INTERNAL_KEY,SITENAME,SITECODE,COUNTRY,SITE STATUS,INTEREST STATUS,NOWAK CODE,BIRDNAME,LAY_TITLE,SEASON,COUNT,UNITS,Pop UNITS,YEAR,CRITERIA_DESC,proportion,assemb component,X_COORDINATE,Y_COORDINATE
7000022,Abberton Reservoir,UK11001,E,Classified/designatd,nationally important,125,Fulica atra (North-western Europe - wintering),Common coot ,P,8953,Individuals,8953 i,5 year peak mean 1998/9-2002/3,Nationally important population (GB passage),5.17514450867052,N,597597,217145
7000022,Abberton Reservoir,UK11001,E,Classified/designatd,internationally important,050,Anas penelope (Western Siberia/North-western/North-eastern Europe),Eurasian wigeon ,W,2888,Individuals,2888 i,,International population (Wintering),1.69882352941176,N,597597,217145
7000022,Abberton Reservoir,UK11001,E,Classified/designatd,internationally important,WATR,Waterfowl assemblage,Waterfowl assemblage,W,23787,Individuals,23787 i,5 year peak mean 1998/9-2002/3,Waterfowl assemblage - wintering,,N,597597,217145
7000022,Abberton Reservoir,UK11001,E,Classified/designatd,nationally important,164,Tringa nebularia (Europe/Western Africa),Common greenshank ,P,6,Individuals,6 i,5 year peak mean 1998/9-2002/3,Nationally important population (GB passage),1.00502512562814,N,597597,217145
7000022,Abberton Reservoir,UK11001,E,Classified/designatd,nationally important,161,Tringa erythropus (Europe/Western Africa),Spotted redshank ,P,11,Individuals,11 i,5 year peak mean 1998/9-2002/3,Nationally important population (GB passage),8.08823529411765,N,597597,217145
7000022,Abberton Reservoir,UK11001,E,Classified/designatd,nationally important,156,Limosa limosa islandica (Iceland - breeding),Black-tailed godwit ,P,220,Individuals,220 i,5 year peak mean 1998/9-2002/3,Nationally important population (GB passage),1.42949967511371,N,597597,217145
7000022,Abberton Reservoir,UK11001,E,Classified/designatd,nationally important,132,Recurvirostra avosetta (Western Europe/Western Mediterranean - breeding),Pied avocet ,P,38,Individuals,38 i,5 year peak mean 1998/9-2002/3,Nationally important population (GB passage),1.11929307805596,N,597597,217145
7000022,Abberton Reservoir,UK11001,E,Classified/designatd,nationally important,067,Bucephala clangula (North-western/Central Europe),Common goldeneye ,W,515,Individuals,515 i,5 year peak mean 1998/9-2002/3,Nationally important population (GB wintering),2.06827309236948,N,597597,217145
7000022,Abberton Reservoir,UK11001,E,Classified/designatd,nationally important,061,Aythya fuligula (North-western Europe),Tufted duck ,P,3243,Individuals,3243 i,5 year peak mean 1998/9-2002/3,Nationally important population (GB passage),3.59933407325194,N,597597,217145
7000022,Abberton Reservoir,UK11001,E,Classified/designatd,internationally important,059,Aythya ferina (North-western/North-eastern Europe),Common pochard ,P,4373,Individuals,4373 i,5 year peak mean 1998/9-2002/3,International population (passage),1.24942857142857,N,597597,217145
7000022,Abberton Reservoir,UK11001,E,Classified/designatd,internationally important,056,Anas clypeata (North-western/Central Europe),Northern shoveler ,P,377,Individuals,377 i,5 year peak mean 1998/9-2002/3,Nationally important population (GB passage),2.5472972972973,N,597597,217145
7000022,Abberton Reservoir,UK11001,E,Classified/designatd,nationally important,052,Anas crecca (North-western Europe),Eurasian teal ,P,2111,Individuals,2111 i,5 year peak mean 1998/9-2002/3,Nationally important population (GB passage),1.09947916666667,N,597597,217145
7000022,Abberton Reservoir,UK11001,E,Classified/designatd,internationally important,051,Anas strepera (North-western Europe),Gadwall ,P,550,Individuals,550 i,5 year peak mean 1998/9-2002/3,Nationally important population (GB passage),3.21637426900585,N,597597,217145
7000022,Abberton Reservoir,UK11001,E,Classified/designatd,internationally important,036,Cygnus olor (Britain),Mute swan ,P,387,Individuals,387 i,5 year peak mean 1998/9-2002/3,International population (passage),1.032,N,597597,217145
7000022,Abberton Reservoir,UK11001,E,Classified/designatd,nationally important,017,Phalacrocorax carbo (North-western Europe),Great cormorant ,B,370,,370 n,Seabird 2000 Census,Nationally important population (GB breeding),4.42848593656493,N,597597,217145
7000022,Abberton Reservoir,UK11001,E,Classified/designatd,nationally important,151,Philomachus pugnax (Western Africa - wintering),Ruff ,P,43,Individuals,43 i,5 year peak mean 1998/9-2002/3,Nationally important population (GB passage),6.14285714285714,N,597597,217145
